File name, Function name, Time taken
glmQuaternionTests.cpp,construction(void),168.2
glmQuaternionTests.cpp,copyConstruct(void),205.7
glmQuaternionTests.cpp,assignment(void),425.1
glmQuaternionTests.cpp,addAssign(void),1054.4
glmQuaternionTests.cpp,subAssign(void),1055
glmQuaternionTests.cpp,mulQuatAssign(void),1185.5
glmQuaternionTests.cpp,mulScaleAssign(void),1050.4
glmQuaternionTests.cpp,negation(void),597.6
glmQuaternionTests.cpp,add(void),1394.9
glmQuaternionTests.cpp,sub(void),1402.9
glmQuaternionTests.cpp,mulQuat(void),1720.3
glmQuaternionTests.cpp,mulScale(void),581.8
glmQuaternionTests.cpp,dot(void),699.1
glmQuaternionTests.cpp,norm(void),922.5
glmQuaternionTests.cpp,normSquared(void),171.7
glmQuaternionTests.cpp,normalize(void),1742.4
glmQuaternionTests.cpp,conjugate(void),585
glmQuaternionTests.cpp,rotateVectorFromFloats(void),7024.9
glmQuaternionTests.cpp,rotateVectorFromArray(void),7070.1
glmQuaternionTests.cpp,fromEuler(void),7020.3
glmQuaternionTests.cpp,fromAxisAngle(void),2698.8
